Pampers Sensitive Wipes,"The #1 Choice of Hospitals (based on hospital sales data). The #1 Sensitive Wipe (based on U.S./Canada �Sensitive� nationally branded sales).  Clinically Proven Mild. Dermatologist-tested, Perfume-free, Hypoallergenic. Helps restore natural pH of the skin.",4,14.5,Baby,Johnson&Johnson
Gentle Baby Wash & Shampoo,Use Johnson's Head-To-Toe Baby Body Wash and Shampoo to gently care for your baby's sensitive skin. Bath time is a wonderful time to bond with your baby with warm water and the soothing touch of tear-free baby wash & shampoo.,5,18.9,Baby,Johnson&Johnson
Stomp Rocket ,"Stomp Rockets glow-in-the-dark, so they stand out against a dark sky!.  100% KID powered: Run, jump and STOMP to launch these rockets up to 100 feet in the air!",2,13.6,Baby,Mattel
Thomas & Friends,"?Set includes Railway Pals Percy train with cargo car, 2 cargo pieces, over 40 track pieces, 9 track activation points, light-up Tidmouth Sheds, Knapford destination, McColl's Farm destination, trackside cargo bin, turntable, and crossing gate",3,55.8,Baby,Mattel
Wooden Toy Cars,"SOLID WOOD TODDLER TOYS: Hape wooden baby toys are crafted in 100% nontoxic wood. VIVID VEHICLES VARIETY: Truck toys and airplane toys in blue, red, green and yellow",4,30.9,Baby,Mattel
Acoustic Noise Cancelling Headphones,"Significant noise reduction for travel, work and anywhere in between.  Deep, powerful sound for the music you love.",3,169.1,Electronic,Apple
Apple iPhone 8,"This Certified Refurbished product has been tested and certified to work and look like new, with minimal to no signs of wear, by a specialized third-party seller approved by Amazon. The product is backed by a minimum 90-day warranty and may arrive in a generic brown or white box. Accessories may be generic and not directly from the manufacturer",5,720.5,Electronic,Apple
Apple TV,"1080p HD for high quality video. Dolby Digital Plus 7.1 surround sound. A8 chip. Voice search by asking the Siri Remote. View photos and videos from your iPhone and iPad on TV.MPEG-4 video up to 2.5 Mbps, 640 by 480 pixels",5,155.9,Electronic,Apple
Apple Watch,"Sport Band with stainless steel pin. Digital CrownGorgeous anodised aluminium case
Ion-X glassHeart rate sensor, accelerometer and gyroscope. Ambient light sensorRetina display with Force Touch. Composite back, Splash and Water resistant in rain, exercising, etc (but not to be submerged in water, as it's not waterproof)",4,220.5,Electronic,Apple
Apple MacBook Pro ,"13.3 inch LED - backlit display, 1280-by-800 resolution. 2.5 GHz Dual-Core Intel Core i5 processor
Intel HD Graphics 4000. 4 GB DDR3 RAM; 500 GB Hard Drive",3,600.9,Electronic,Apple
Daily Moisturizing Lotion,"[ ALL DAY HYDRATION ] Lightweight formula that provides 24-hour hydration and helps restore the protective skin barrier with three essential ceramides (1,3,6-II). [ MOISTURE-RETAINING INGREDIENTS ] Formulated with hyaluronic acid to help retain skin's natural moisture",2,10.8,Personal care,Dove
Night Cream ,Fragrance-Free Night Cream Formula is Specifically Designed to Provide Intense Hydration and Regenerate Skin Surface Cells While You Sleep.,4,24.7,Personal care,Dove
Moisturizing Sunscreen Lotion,"Ideal for everyday use, by adults and children with even the most sensitive skin. Broad Spectrum UVA / UVB Protection, Water Resistant (80 Minutes)",5,9.9,Personal care,Dove
Vitamin C facial serum,"ARE YOU LOOKING FOR A VITAMIN C facial serum that actually works? We combine the most stable form of vitamin c with the powerful antioxidant, Astaxanthin - making this one of the most effective vitamin c serums available. Results in 3 weeks guaranteed.",4,15.9,Personal care,Johnson&Johnson
Tea Tree Oil Shampoo,"TEA TREE OIL SHAMPOO contains Tea Tree Oil for dry and itchy scalp. Our sulfate free formula is gentle on curly and color treated hair.
NATURAL FORMULA with a blend of herbal oil and ingredients. Including Tea Tree Oil, Jojoba Oil, Avocado Oil, Keratin, Almond Oil, and Coconut Oil. ",5,13.9,Personal care,Johnson&Johnson
